scenario_id,family,request,reference_version,reference,wording_supports_reference,times_units_inclusive_boundaries_agree,date_timezone_agree,endpoints_names_and_public_windows_agree,scope_agrees,visits_and_order_agree,expressible,pool_size,feasible_journeys,feasibility_label_agrees,invalid_public_journeys,clear_reference_error,unresolved_ambiguity,audit_type,human_audited,human_reviewer,human_question,human_correction
pilot-00,timing,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to SW 5th & Columbia [stop_id=7594]. Depart no earlier than 08:25:17 and arrive by 09:30:25, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30317},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":34225}]}",True,True,True,True,True,not_applicable,True,64,11,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-01,mode_exclusion,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=1097] to N Williams & NE Tillamook [stop_id=6370]. Do not use rail or tram. Depart no later than 09:08:00, inclusive. Make at most 0 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":32880},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0}]}",True,True,True,True,True,not_applicable,True,64,4,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-02,ordered_visits,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to NW Everett & 5th [stop_id=8886]. Call at stop 3398 and then stop 13780, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""3398"",""13780""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-03,transfers,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to 300 Block SW Lincoln [stop_id=3397]. Make at most 0 transfers. Do not depart before 08:18:00.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":29880}]}",True,True,True,True,True,not_applicable,True,64,1,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-04,scope,"On 2026-09-14, plan the outbound journey from NW Everett & 2nd [stop_id=1612] to N Williams & NE Broadway [stop_id=6357]. Also plan a return segment from N Vancouver & Weidler [stop_id=6009] to NW 5th & Davis [stop_id=9301] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the return segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:26:54.",stage2-provisional-v1,"{""and"":[{""direction"":""return"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34014}]}",True,True,True,True,True,not_applicable,True,256,141,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-05,infeasible,"On 2026-09-14, plan the outbound journey from SW Hall & 5th [stop_id=13780] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":30600},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":28800}]}",True,True,True,True,True,not_applicable,True,64,0,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-06,mode_exclusion,"On 2026-09-14, plan the outbound journey from SW 5th & Washington [stop_id=7642] to South Waterfront/S Moody [stop_id=13732]. Do not use rail or tram. Depart no later than 07:51:42, inclusive. Make at most 1 transfers.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""forbidden_modes"",""target"":[""rail"",""tram""]},{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":28302},{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1}]}",True,True,True,True,True,not_applicable,True,64,35,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-07,ordered_visits,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=2592] to SW 5th & Pine [stop_id=7631]. Call at stop 9311 and then stop 9301, in that order; remaining aboard counts. Use only buses.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""ordered_calls"",""target"":[""9311"",""9301""]},{""direction"":""outbound"",""requirement"":""allowed_modes"",""target"":[""bus""]}]}",True,True,True,True,True,True,True,64,64,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-08,timing,"On 2026-09-14, plan the outbound journey from SE Powell & Milwaukie [stop_id=4538] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 07:51:00 and arrive by 09:02:29, both inclusive.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":28260},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":32549}]}",True,True,True,True,True,not_applicable,True,64,18,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
pilot-09,scope,"On 2026-09-14, plan the outbound journey from SW 6th & Columbia [stop_id=11486] to NW 6th & Flanders [stop_id=9300]. Also plan a return segment from NW 5th & Davis [stop_id=9301] to SW 5th & Columbia [stop_id=7594] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:39:47.",stage2-provisional-v1,"{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":1},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":34787}]}",True,True,True,True,True,not_applicable,True,256,18,True,[],False,False,developer/automated consistency audit; no independent human adjudication,False,,,
