stage,scenario_id,request,reference,pool_size,feasible_journeys,annotation_status,review_question,reviewer_decision
2,pilot-00,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to SW 5th & Columbia [stop_id=7594]. Depart no earlier than 08:25:17 and arrive by 09:30:25, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 30317}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 34225}]}",64,11,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-01,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=1097] to N Williams & NE Tillamook [stop_id=6370]. Do not use rail or tram. Depart no later than 09:08:00, inclusive. Make at most 0 transfers.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""forbidden_modes"", ""target"": [""rail"", ""tram""]}, {""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 32880}, {""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}]}",64,4,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-02,"On 2026-09-14, plan the outbound journey from South Waterfront/S Moody [stop_id=13733] to NW Everett & 5th [stop_id=8886]. Call at stop 3398 and then stop 13780, in that order; remaining aboard counts. Use only buses.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""ordered_calls"", ""target"": [""3398"", ""13780""]}, {""direction"": ""outbound"", ""requirement"": ""allowed_modes"", ""target"": [""bus""]}]}",64,64,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-03,"On 2026-09-14, plan the outbound journey from SW 5th & Salmon [stop_id=7634] to 300 Block SW Lincoln [stop_id=3397]. Make at most 0 transfers. Do not depart before 08:18:00.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 0}, {""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 29880}]}",64,1,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-04,"On 2026-09-14, plan the outbound journey from NW Everett & 2nd [stop_id=1612] to N Williams & NE Broadway [stop_id=6357]. Also plan a return segment from N Vancouver & Weidler [stop_id=6009] to NW 5th & Davis [stop_id=9301] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the return segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:26:54.","{""and"": [{""direction"": ""return"", ""requirement"": ""transfer_limit"", ""target"": 1}, {""direction"": ""return"", ""requirement"": ""earliest_departure"", ""target"": 34014}]}",256,141,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-05,"On 2026-09-14, plan the outbound journey from SW Hall & 5th [stop_id=13780] to SW 6th & W Burnside [stop_id=7751]. Depart no earlier than 08:30:00 and arrive by 08:00:00, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 30600}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 28800}]}",64,0,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-06,"On 2026-09-14, plan the outbound journey from SW 5th & Washington [stop_id=7642] to South Waterfront/S Moody [stop_id=13732]. Do not use rail or tram. Depart no later than 07:51:42, inclusive. Make at most 1 transfers.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""forbidden_modes"", ""target"": [""rail"", ""tram""]}, {""direction"": ""outbound"", ""requirement"": ""latest_departure"", ""target"": 28302}, {""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 1}]}",64,35,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-07,"On 2026-09-14, plan the outbound journey from Rose Quarter Transit Center [stop_id=2592] to SW 5th & Pine [stop_id=7631]. Call at stop 9311 and then stop 9301, in that order; remaining aboard counts. Use only buses.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""ordered_calls"", ""target"": [""9311"", ""9301""]}, {""direction"": ""outbound"", ""requirement"": ""allowed_modes"", ""target"": [""bus""]}]}",64,64,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-08,"On 2026-09-14, plan the outbound journey from SE Powell & Milwaukie [stop_id=4538] to SW Lincoln & 1st [stop_id=3398]. Depart no earlier than 07:51:00 and arrive by 09:02:29, both inclusive.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""earliest_departure"", ""target"": 28260}, {""direction"": ""outbound"", ""requirement"": ""latest_arrival"", ""target"": 32549}]}",64,18,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
2,pilot-09,"On 2026-09-14, plan the outbound journey from SW 6th & Columbia [stop_id=11486] to NW 6th & Flanders [stop_id=9300]. Also plan a return segment from NW 5th & Davis [stop_id=9301] to SW 5th & Columbia [stop_id=7594] within 09:00:00–10:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 1 transfers. On the return segment only, depart no earlier than 09:39:47.","{""and"": [{""direction"": ""outbound"", ""requirement"": ""transfer_limit"", ""target"": 1}, {""direction"": ""return"", ""requirement"": ""earliest_departure"", ""target"": 34787}]}",256,18,provisional; developer/automated audit found no clear correction,Check requested meaning separately from whether pool distinguishes it.,
