scenario_id,request,reference,review_status,human_reviewer,uncertain,correction
sampling-00,"On 2026-09-14, plan the outbound journey from NW 5th & Davis [stop_id=9301] to South Waterfront/S Moody [stop_id=13732]. Depart no earlier than 11:01:36 and arrive by 12:14:14, both inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":39696},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":44054}]}",provisional developer/automated review,,,
sampling-01,"On 2026-09-14, plan the outbound journey from N Vancouver & Page [stop_id=6001] to Rose Quarter Transit Center [stop_id=2592]. Depart no later than 10:54:48, inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":39288}]}",provisional developer/automated review,,,
sampling-02,"On 2026-09-14, plan the outbound journey from SW Hall & 5th [stop_id=13780] to NW Everett & 5th [stop_id=8886]. Make at most 0 transfers. Do not depart before 11:07:53.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":40073}]}",provisional developer/automated review,,,
sampling-03,"On 2026-09-14, plan the outbound journey from SW 5th & Washington [stop_id=7642] to OMSI/SE Water [stop_id=13772]. Depart no earlier than 11:51:26 and arrive by 12:07:21, both inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":42686},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":43641}]}",provisional developer/automated review,,,
sampling-04,"On 2026-09-14, plan the outbound journey from SW 6th & W Burnside [stop_id=7751] to N Williams & NE Weidler [stop_id=11480]. Depart no later than 11:00:30, inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":39630}]}",provisional developer/automated review,,,
sampling-05,"On 2026-09-14, plan the outbound journey from 300 Block SW Lincoln [stop_id=3397] to SE Division Pl & 8th [stop_id=13778]. Make at most 0 transfers. Do not depart before 11:33:16.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":41596}]}",provisional developer/automated review,,,
sampling-06,"On 2026-09-14, plan the outbound journey from SE Division & 20th Ave [stop_id=14243] to South Waterfront/S Moody [stop_id=13733]. Also plan a return segment from South Waterfront/S Moody [stop_id=13732] to SE Milwaukie & Gideon [stop_id=13791] within 12:00:00–13:00:00. I handle movement between the outbound destination and return origin myself outside these journeys. On the outbound segment only, make at most 0 transfers. On the return segment only, depart no earlier than 12:31:00.","{""and"":[{""direction"":""outbound"",""requirement"":""transfer_limit"",""target"":0},{""direction"":""return"",""requirement"":""earliest_departure"",""target"":45060}]}",provisional developer/automated review,,,
sampling-07,"On 2026-09-14, plan the outbound journey from NW Glisan & 3rd [stop_id=9311] to SW 5th & Salmon [stop_id=7634]. Depart no earlier than 12:00:58 and arrive by 11:09:00, both inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":43258},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":40140}]}",provisional developer/automated review,,,
sampling-08,"On 2026-09-14, plan the outbound journey from OMSI/SE Water [stop_id=13773] to SW 6th & Mill [stop_id=7773]. Depart no earlier than 10:19:57 and arrive by 12:13:52, both inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""earliest_departure"",""target"":37197},{""direction"":""outbound"",""requirement"":""latest_arrival"",""target"":44032}]}",provisional developer/automated review,,,
sampling-09,"On 2026-09-14, plan the outbound journey from SW Lincoln & 1st [stop_id=3398] to SW 6th & Harvey Milk [stop_id=7797]. Depart no later than 10:02:29, inclusive.","{""and"":[{""direction"":""outbound"",""requirement"":""latest_departure"",""target"":36149}]}",provisional developer/automated review,,,
